name,street,city,state,zipcode,phone,lat,long,occupation,babyfriendly
Adams Memorial Hospital,1100 Mercer Ave,Decatur,IN,46733,2607242145,40.81773,-84.91268,Hospital,1
Baptist Health Floyd,1850 State St,New Albany,IN,47150,8129495500,38.30051,-85.83441,Hospital,1
Bluffton Regional Medical Center,303 S Main St,Bluffton,IN,46714,2608243210,40.73735,-85.17136,Hospital,1
Cameron Memorial Community Hospital,416 E Maumee St,Angola,IN,46703,2606652141,41.63478,-84.99555,Hospital,1
Clark Memorial Hospital,1220 Missouri Ave,Jeffersonville,IN,47130,8122832142,38.28289,-85.74917,Hospital,1
Columbus Regional Hospital,2400 17Th St,Columbus,IN,47201,8123794441,39.21604,-85.89585,Hospital,1
Community Hospital - Munster,901 Macarthur Blvd,Munster,IN,46321,2198361600,41.55025,-87.50785,Hospital,1
Community Hospital Anderson,1515 N Madison Ave,Anderson,IN,46011,7652984242,40.12882,-85.69192,Hospital,1
Community Hospital East,1500 N Ritter Ave,Indianapolis,IN,46219,3173555411,39.78624,-86.074,Hospital,1
Community Hospital North,7150 Clearvista Dr,Indianapolis,IN,46256,3176215335,39.89993,-86.04011,Hospital,1
Community Hospital South,1402 E County Line Rd,Indianapolis,IN,46227,3178877000,39.63564,-86.13399,Hospital,1
Community Hospital Of Bremem,1020 High Rd,Bremen,IN,46506,5745462211,41.45704,-86.15847,Hospital,1
"Community Howard Regional Health, Inc.",3500 S Lafountain St,Kokomo,IN,46902,7654538371,40.44706,-86.12659,Hospital,1
Daviess Community Hospital,1314 E Walnut St,Washington,IN,47501,8122542760,38.65885,-87.15933,Hospital,1
Dekalb Health,1316 E 7Th St,Auburn,IN,46706,2609254600,41.36788,-85.03557,Hospital,1
Dearborn County Hospital,600 Wilson Creek Rd,Lawrenceburg,IN,47025,8125371010,39.11148,-84.88449,Hospital,1
Decatur County Memorial Hospital,720 N Lincoln St,Greensburg,IN,47240,8126634331,39.3443,-85.47919,Hospital,1
Dukes Memorial Hospital,275 W 12Th St,Peru,IN,46970,7654728000,40.7571,-86.08281,Hospital,1
Dupont Hospital,2520 E Dupont Rd,Fort Wayne,IN,46825,2604163000,41.17851,-85.10968,Hospital,1
Elkhart General Hospital,600 East Blvd,Elkhart,IN,46514,5742942621,41.67966,-85.99222,Hospital,1
Eskenazi Health,720 Eskenazi Ave,Indianapolis,IN,46202,3178804818,39.77788,-86.18436,Hospital,1
